cat/dog,health issue,cooking time,name,save,ingredient,cook
강아지,구강개선,조리시간 60분 이내,강아지를 위한 치즈볼 - 구취 제거에 좋은,이번 레시피에는 파슬리와 치즈가 포함돼 있습니다. 파슬리 안에는 건강에 유익한 두 화합물이 함유되어 있으며 산화방지제들이 듬뿍 들어있습니다. 게다가 비타민 B 비타민 C의 훌륭한 공급원이며 비타민 A(프로 비타민 A 카로티노이드 베타-카로틴의 함량이 높은)의 좋은 공급원이기도 합니다. 치즈에는 칼슘 단백질 인 아연 비타민 A와 비타민 B12와 같은 영양분이 포함되어 있습니다. 치즈의 고품질 단백질은 근육과 같은 신체조직을 형성합니다.  이 간식은 3~4일까지 냉장 보관이 가능합니다.,통밀가루 125 g치즈 60 g파슬리 35 g,파슬리를 잘게 썰어줍니다.작은 그릇에 치즈와 잘게 썬 파슬리를 넣어주세요.숟가락으로 치즈를 으깨서 파슬리와 잘 섞어주세요.밀가루 1컵을 그릇에 담고 잘 섞일 때까지 휘젓습니다.하나의 반죽 덩어리가 되도록 손으로 잘 치대줍니다.작은 공 모양으로 반죽을 떼서 유선지가 깔린 베이킹 시트에 나란히 올려줍니다. 쿠키 커터를 이용하여 반죽을 납작한 공 모양이나 재밌는 모양으로 만드셔도 좋습니다.시트를 275도 오븐에 넣고 약 40분 정도 노릇노릇해질 때까지 구워줍니다.오븐을 끄고 간식을 깨끗한 곳에 옮겨 담습니다. 음식을 완전히 차게 식힌 다음에 강아지에게 주세요.
강아지,장관련,조리시간 30분 이내,흰살 생선 요리 -  소화력에 도움이 되는,단백질 함량이 높고 지방 함량은 낮은 흰살생선은 비타민 B를 체내에 흡수시키고 면역 체계를 증진하며 신진대사를 향상해 소화력을 돕습니다. 또한 많은 해산물처럼 면역체계를 증진시키고 갑상선 기능을 향상하는 요오드 셀레늄 미네랄의 훌륭한 공급원입니다. 셀레늄은 흰살생선에 함유된 비타민B와 함께 세포를 형성하는 데 도움을 줍니다. 음식은 3일 정도 냉장 보관이 가능합니다.,메기 500 g쌀밥 120 g양배추 100 g완두콩 통조림 70 g당근 1 number무 1 number고구마 1 number,"고구마, 당근, 양배추, 무, 생선을 잘게 썰어 준비해 주세요.프라이팬을 중불에서 가열하고 잘게 썬 채소를 넣어주세요.완두콩 1컵을 넣어주세요.생선이 익을 때까지 10~15분 정도 중간중간 휘저으면서 볶아주세요.쌀밥 1컵을 넣고 5~8분 정도 더 볶아주세요.불을 끄고 1인분의 양을 접시나 그릇에 옮겨 담아 주세요. 음식이 완전히 식은 다음에 강아지에게 급여하세요."
강아지,신장관련,조리시간 60분 이내,"소고기와 채소, 현미 - 심장에 좋은",강아지에게 건강하고 맛있는 음식을 만들어 주세요. 소고기는 아연 철분 단백질 비타민B와 같은 영양소를 제공합니다. 소고기는 올리브 오일에 함유된 심장에 좋은 단일 불포화 지방을 함유하고 있습니다. 채소는 칼륨 섬유질 엽산 비타민A E C 등의 영양소를 제공합니다. 오늘 만든 음식은 2일 정도 냉장고에 보관할 수 있습니다.,호박 100 g강낭콩 75 g완두콩 통조림 75 g다진 소고기 100 g현미 120 g당근 1 number,"당근과 호박은 껍질을 벗기고 씨를 제거한 후 깍둑썰기해 주세요. 
냄비에 물 230ml를 붓고 중간 불에서 끓인 뒤, 소고기를 넣어주세요.현미를 넣고 같이 끓여주세요.채소와 콩을 넣고 현미와 소고기가 익을 때까지 30~40분 정도 삶아줍니다.불을 끄고 물기를 제거한 후 음식을 접시에 옮겨 담아주세요. 강아지에게 음식을 주기 전에 완전히 식혀주세요."
강아지,신장관련,조리시간 90분 이내,소고기와 닭고기 미트 로프 - 강아지 체중 유지에 알맞는,미트 로프는 근육을 형성하고 체내 산소 운반을 돕고 면역체계를 증진시키는 단백질 아연 비타민B와 같은 영양소의 훌륭한 공급원입니다. 뼈와 껍질이 없는 닭가슴살은 맛이 훌륭한 기름기 없는 단백질 음식입니다. 게다가 칼로리도 낮고 단백질 함량이 높아서 체중 유지에 완벽한 음식이기도 합니다. 지방을 태우는 음식으로도 알려져 있습니다. 채소는 칼륨 섬유질 엽산 비타민AEC 등의 많은 영양소를 제공하며 건강한 식단의 중요한 부분을 차지합니다. 오늘 만든 음식은 3일 정도 냉장 보관이 가능합니다.,셀러리 20 g피망 2 number배 1/2 number사과 1 number당근 1/2 number가지 1/2 number브로콜리 20 g입자상 치즈 60 g현미밥 50 g다진 소고기 60 g달걀 1 number닭가슴살 300 g껍질콩 30 g,"셀러리, 껍질 콩, 당근, 가지, 브로콜리, 피망은 깍둑썰기하고 사과와 배는 얇은 조각으로 썰어주세요.닭고기를 작은 조각으로 자른 후 믹서기에 넣어줍니다. 달걀 1개도 깨서 넣어주세요.닭고기가 작은 조각이 될 때까지 갈아주세요.갈아진 닭고기를 그릇에 담아주세요.다진 소고기를 케이크 트레이에 붓고 윗부분을 살짝 눌러 재료를 얹을 공간을 만들어 주세요.다진 소고기 위에 잘게 다진 채소들을 얹어주세요.그 위에 STEP4의 닭고기를 부어 평평하게 펴줍니다.사과와 배 조각을 얹어주세요.마지막으로 잘게 썬 채소와 치즈를 뿌려주세요.오븐에 트레이를 넣고 화씨350도에서 90분 정도 구워주세요.오븐을 끄고 트레이를 식혀준 뒤 칼로 미트 로프를 꺼내 접시에 옮겨 담습니다.미트 로프를 작은 조각으로 잘라줍니다.준비한 쌀밥과 함께 제공해도 좋습니다."
강아지,장관련,조리시간 60분 이내,고구마 간식 - 배변 활동에 도움이 되는,고구마는 맛도 좋고 비타민 A(베타-카로틴)의 훌륭한 공급원입니다. 고구마는 비타민C 망간 구리 판토텐산 비타민6뿐만 아니라 칼륨(식이성 섬유) 니아신 비타민 1 비타민 2 인을 함유하고 있습니다. 간식은 5일 정도 냉장 보관이 가능합니다.,고구마 65 g사과소스 30 ml통밀가루 160 g달걀 1 number,"고구마의 껍질을 벗기고 끝부분을 잘라줍니다. 고구마를 고를 때 중간 크기의 고구마를 골라주세요. 큰 고구마는 탄수화물이 많습니다.냄비에 물 200~250ml를 부어 준 다음, 고구마를 넣고 부드러워질 때까지 중간 불에서 20분 정도 삶아주세요.고구마를 꺼내 물기를 제거한 뒤 그릇에 옮겨 담아주세요.포크를 이용해서 고구마를 으깨주세요.달걀 한 개를 그릇에 깨서 넣고 사과 소스 30ml를 부어주세요.밀가루 160g을 넣고 골고루 섞어주세요.손으로 반죽을 잘 치대주세요.깨끗한 표면에 밀가루를 살짝 뿌리고 그 위에 반죽을 올려줍니다.반죽 위에도 밀가루를 조금 뿌려주세요.반죽을 1~2cm 두께로 밀어주세요.귀여운 모양의 쿠키커터로 반죽을 찍어준 뒤, 베이킹 시트에 유산지를 깔고 쿠키를 올려주세요.오븐에 넣고 화씨 350도에서 약 35분 정도 구워주세요.오븐을 끄고 쿠키를 꺼내주세요.음식을 제공하기 전에 완전히 식혀줍니다."
고양이,신장관련,조리시간 10분 이내,캣닢 정어리 - 스트레스에 도움이 되는,이번 레시피는 고양이의 건강에 다양한 이점을 제공해줄 허브와 캐트닙을 함유하고 있습니다. 캐트닙은 6개월 미만의 고양이에겐 효능이 없으며 자궁 흥분제이기 때문에 임신한 고양이는 섭취하지 말아야 합니다. 불안과 스트레스를 완화하고 식이 장애를 없애주며 위장병을 완화합니다. 또한 감기와 열병을 다스리고 몸의 독소를 제거하며 염증과 상처를 치유해줍니다.,캐트닙 2 tbsp오일에 절인 정어리 170 g당근 1 number쌀밥 1/3 cup,당근의 껍질을 벗기고 줄기를 제거한 후 깍둑썰기해 주세요.캐트닙을 잘게 썰어주세요.그릇에 정어리를 넣고 포크로 으깨주세요.그릇에 당근과 캐트닙을 넣고 섞어주세요.쌀밥을 넣고 재료들과 골고루 섞어주세요.적당량을 손바닥에 덜어 작은 공 모양으로 만들어 주세요.재료가 떨어질 때까지 계속 만들어 주세요.파슬리와 셀러리 같은 허브와 채소를 추가해도 좋아요.
강아지,모질개선,조리시간 10분 이내,연어와 시금치 - 알레르기 개선에 도움이 되는,바쁜 날에 만들기 좋은 훌륭한 레시피로 만드는 데 10분도 걸리지 않습니다. 연어는 심장에 좋은 오메가-3 지방산과 고품질 단백질의 훌륭한 공급원을 제공하며 다양한 비타민과 무기질의 훌륭한 공급원입니다. 또한 강아지의 건강에 좋은 음식입니다. 오늘의 음식은 3일 정도 냉장 보관이 가능합니다.,연어 통조림 90 g시금치 50 g올리브 오일 1 tbsp달걀 2 number,"시금치를 곱게 다지세요.프라이팬에 오일을 넣고 중간 불에서 가열한 뒤, 연어를 넣고 완전히 익을 때까지 조리해주세요.준비한 달걀을 깨서 넣고 1분 정도 잘 풀어주세요.시금치를 넣고 중간중간 휘저어 주면서 시금치가 익을 때까지 약 3~5분 정도 볶아주세요.불을 끄고 깨끗한 접시나 그릇에 옮겨 담아주세요. 음식이 완전히 식은 후에 강아지에게 제공하세요."
강아지,,조리시간 ,"칠면조, 완두콩과 귀리 - 다이어트에 도움이 되는",칠면조 고기 귀리 채소가 들어간 강아지 음식은 그대로 먹이거나 키블과 섞어서 주면 좋아요 음식은 3일 정도 냉장 보관 가능합니다.,다진 칠면조 고기 150 닭간 50 으깬 귀리 1/2 완두콩 통조림 1/4 크림치즈 2 삶은 호박 30,"닭 간을 잘게 썰어주세요.준비한 팬에 칠면조 고기와 다진 간을 넣어주세요.고기와 간이 노릇노릇하게 익을 때까지 약 7~10분 정도 중간 불에서 재빨리 볶아주세요.완두콩과 호박을 넣고 휘저으면서 으깨주세요.귀리와 물 1/2컵, 치즈를 첨가해주세요.중간중간 휘저으면서 물이 거의 증발할 때까지 삶아주세요.불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 다음 뒤 완전히 식혀주세요."
강아지,다이어트,조리시간 2시간 이상,치아시드 오트밀 - 비타민이 풍부한,치아시드는 건강한 장 기능을 건강하게 해주고 인슐린 수치를 조절해주는 섬유질을 풍부하게 함유하고 있습니다. 치아시드(샐비어 히스패닉)는 신체가 지용성 비타민 A D E K를 흡수하도록 돕는 리놀레산과 지방산이 풍부합니다. 크기가 작은 치아시드는 연어보다 오메가-3 함량이 더 높으며 건강한 지방을 많이 함유하고 있습니다. 오메가-3는 혈압과 나쁜 콜레스테롤 수치를 낮추고 염증을 줄여줍니다. (염증은 혈관에 부담으로 주거나 심방병을 일으킬 수 있습니다.) 음식은 5일 정도 냉장 보관이 가능합니다.,사과 1 number라임 1 number저지방 플레인 그리스 요구르트 1/8 cup으깬 귀리 1/2 cup무당 아몬드 우유 1/2 cup치아씨드 1/2 tbsp생꿀 1/3 tbsp,라임을 반으로 잘라주세요.사과의 껍질을 벗기고 씨와 속을 제거한 후 깍둑썰기해 주세요.중간 크기의 단지에 귀리 1/2컵을 넣어주세요.치아시드 1/2 테이블 스푼을 넣어주세요.아몬드 밀크 1/2컵을 부어주세요.요구르트 1/8컵을 넣어주세요.STEP 2의 사과 조각을 넣어주세요.단지에 꿀 1티스푼을 넣고 반으로 자른 라임의 즙을 짜서 넣어주세요.재료가 잘 혼합되도록 골고루 섞어주세요.뚜껑을 닫고 냉장고에 넣어주세요. 8시간 동안 얼려주시고 치아시드를 불려주세요.접시나 그릇에 음식을 담아 강아지에게 먹여주세요. 파슬리 같은 허브를 첨가해도 좋아요.
강아지,모질개선,조리시간 20분 이내,양고기 다리 스테이크 - 강아지 골다공증에 좋은,양고기는 강아지가 살아가는데 필요한 필수 영양소인 단백질의 공급원입니다. 강아지가 양고기를 꼭 먹어야 하는 이유는 양고기에는 강아지의 면역력을 키워주는 아연과 무기질이 풍부하게 들어있기 때문입니다. 이제 강아지를 위한 맛있는 양고기 음식을 만들어 봅시다 음식은 3일 정도 냉장 보관이 가능합니다.,닭지방 20 g신선한 박하 5 g양고기 다리살 100 g삶은 감자 50 g,"박하잎을 잘게 썰어주세요. 
박하는 강아지의 건강에 안전한 음식입니다. 박하는 천연 살충제이며 강아지의 입 냄새를 없애주며 멀미를 예방해줍니다. 하지만 한꺼번에 많은 양을 먹으면 간과 신장에 손상을 줄 수 있습니다.양고기를 1cm 두께로 썰어주세요.들러붙지 않는 팬에 닭고기의 지방을 녹여주세요.팬에 양고기를 넣고 6분간 조리한 뒤 양고기를 뒤집어서 6분 더 조리해주세요.양고기를 팬에서 꺼낸 후 식힌 다음 잘게 썰어주세요.삶은 감자를 반으로 썰어주세요.그릇에 감자를 넣고 포크로 으깨어 주세요.깨끗한 접시에 감자를 담아주세요.양고기와 박하잎을 감자 위에 얹어주세요."
