cat/dog,health issue,cooking time,name,save,ingredient,cook
고양이,모질개선,조리시간 20분 이내,당근과 브로콜리 닭고기 - 체중 감량에 좋은 간식,오늘 만든 음식은 3일 정도 냉장 보관이 가능합니다,닭가슴살 200 g물 1.5 cup브로콜리 50 g당근 50 g,"브로콜리를 잘게 썰어주세요. 브로콜리는 다양한 모양과 크기로 손질할 수 있으며 줄기가 단단하고 이파리가 아삭아삭하고 녹색을 띠는 브로콜리를 고르세요. 꽃봉오리가 노란색을 띠거나 꽃이 핀 것은 피하세요.당근의 껍질을 벗기고 줄기를 제거한 후 깍둑썰기해주세요. 잔뿌리가 없고 껍질이 단단하고 매끈한 당근을 골라주세요.닭고기를 잘게 다져주세요.커다란 냄비에 물 1.5컵을 붓고 중간 불에서 끓여주세요.냄비에 닭고기를 넣고 고기를 으깨면서 저어주세요.브로콜리와 당근을 넣고 잘 휘저어 주세요.채소가 부드러워질 때까지 10~15분 동안 조리하세요.불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 담은 뒤, 완전히 식혀주세요."
고양이,관절관련,조리시간 20분 이내,치즈와 채소가 들어간 닭고기 요리 - 면역력 증진에 도움이 되는 간식,음식은 3일 정도 냉장 보관해주세요 :),시금치 100 g완숙란 1 number쌀밥 100 g뼈와 껍질이 제거된 닭 넓적다리살 150 g부드러운 치즈 30 g,"시금치의 뿌리를 제거하고 잘게 썰어주세요. 시금치는 잎이 신선하고 아삭아삭하고 녹색을 띠는 것을 고르세요. 벌레가 먹은 잎은 선택하지 마세요. 콜라드, 케일, 근대, 민들레 잎 등과 같은 녹색 채소를 사용하세요.닭고기를 한입 크기의 조각으로 썰어주세요.프라이팬에 닭고기를 넣고 중간 불에서 가열하세요.시금치를 넣고 닭고기가 익을 때까지 중간중간 저어주면서 5~10분간 볶아주세요.준비한 쌀밥을 넣고, 수저로 밥알을 잘게 부수어 주세요.프라이팬에 삶은 달걀을 넣어주세요. 수저로 잘게 으깨면서 재료를 골고루 섞어주세요.치즈를 넣고 수저로 으깨면서 골고루 섞어줍니다.불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 담은 뒤, 완전히 식혀주세요."
강아지,장관련,조리시간 2시간 이상,베이컨 아이스크림 - 우리집 강아지를 건강하게 ,조리되지 않은 간식을 밀폐 용기에 담아서 4시간 정도 얼려주세요 쉽고 간단한 간식 만들기 도전해보세요,조리된 베이컨 3 number저지방 플레인 요구르트 1 cup,"베이컨을 돌돌 말아준 뒤, 얇게 썰어주세요.아이스 큐브 트레이에 베이컨 조각을 담아주세요. 베이컨이 다 떨어질 때까지 계속 반복합니다.트레이에 요구르트를 부어주세요.냉장고에 트레이를 넣고 4시간 정도 얼려준 뒤, 강아지에게 간식으로 주세요!"
고양이,모질개선,조리시간 20분 이내,야채와 참치 정어리를 이용한 영양만점 고양이 수제간식,야채와 참치 정어리를 이용한 영양만점 고양이 수제간식,감자 100 브로콜리 100 참치캔 300 정어리 30 파슬리 1 작은스푼,"감자를 크게 썬다음 10분정도 삶아주세요. 으깰꺼니까 크기는 상관없습니다~~브로콜리도 5-7분정도 삶아주세요. 브로콜리도 같이 으깰껍니다~감자랑 브로콜리를 그릇에 담고 잘 으깨주세요정어리,참치도 그릇에 넣어서 잘 으깨우세요파슬리를 뿌려서 이제 냥이한테 주세요"
강아지,다이어트,조리시간 30분 이내,땅콩 간식 - 강아지 신체 성장에 도움이 되는,간식은 5일 정도 냉장 보관하시고 6개월 정도 냉동 보관하세요.,땅콩버터 1 tbsp으깬 귀리 1.5 cup물 2.5 cup꿀 1/4 cup구운 땅콩 2 tbsp계피 1/2 작은스푼사과소스 1/4 cup호박 100 g,물 2컵이 채워진 냄비에 호박을 넣고 호박이 부드러워질 때까지 중간 불에서 10~15분 정도 삶아주세요.삶아지는 동안 땅콩 1테이블 스푼을 깨끗한 도마 위에 올려준 뒤 잘게 썰어주세요. 사용하지 않은 1테이블 스푼은 따로 남겨둡니다.호박이 삶아지면 그릇에 넣고 포크로 호박을 잘게 으깨주세요.꿀 1/2테이블 스푼과 사과소스 1/4컵을 부어주세요.물 1/4컵과 땅콩버터 1테이블 스푼을 넣어주세요.계피 1/2티스푼과 귀리 1컵을 넣어주세요.잘게 썬 땅콩 1테이블 스푼도 넣고 골고루 섞어주세요.베이킹 트레이 위에 귀리를 뿌려주세요.숟가락으로 1테이블 스푼의 반죽을 떠서 쿠키 트레이에 올려줍니다. 재료가 다 떨어질 때까지 반복합니다.여분의 땅콩을 각 반죽 위에 올려준 다음 살짝 눌러주세요.오븐에 트레이를 넣고 350℉에서 30분 정도 구워줍니다.오븐을 끄고 간식을 꺼내 완전히 식혀 강아지에게 제공해 주세요.
고양이,모질개선,조리시간 20분 이내,정어리 포테토,정어리와 포테이토의 만남 ♥,감자 100 팥 1/4 cup정어리 30 ,재료는 정어리 감자 팥 입니다감자껍질을 벗기고 아주 얇게 썰어주세요슬라이스된 감자를 그릇에 차례차례 담으세요감자위에 정어리를 으깨서 올려놓고 그 위에는 콩을 올려주세요감자를 한 겹 더 덮고 호일로 씌워서 300도 이상에서 30분간 구워주세요
강아지,신장관련,조리시간 60분 이내,강아지를 위한 소고기 간 요리 - 시력과 피부를 건강하게,간식은 3일 정도 냉장 보관 가능합니다. 간에 함유된 비타민A는 과다 섭취 시 독이 될 수 있기 때문에 적당량을 제공해 주셔야 합니다.,소고기 생간 200 g물 60 ml통밀가루 65 g달걀 1 number,"간을 5cm 크기의 네모꼴로 썰어주세요.간을 믹서기에 넣어주세요.달걀 한개를 깨서 믹서기에 넣어주세요.간과 달걀을 액체가 되도록 잘 갈아주세요.커다란 그릇에 STEP 4를 부어주세요.밀가루와 물을 넣어주세요.혼합물이 잘 섞이도록 휘저어 주세요.반죽이 완성됐어요!깨끗한 평면 위에 유산지를 깔아준 뒤, 반죽을 올리고 치대주세요.반죽이 손에 묻지 않고 유산지에 들러붙지 않도록 반죽 위에 밀가루를 조금 뿌려주세요.1~2cm 크기의 두께로 반죽을 밀대로 밀어준 뒤, 칼을 이용해 반죽을 4~5cm 크기의 네모꼴로 잘라주세요유산지를 조심스럽게 들어 베이킹 시트 위에 올려줍니다.오븐에 시트를 넣고 40분 정도 350℉에서 구워주세요오븐을 끄고 간식을 꺼내 완전히 식혀줍니다"
고양이,모질개선,조리시간 10분 이내,감자 오믈렛,감자 오믈렛,계란 2 number감자 100 완두콩 1/4 cup식물성기름 1 큰스푼,감자껍질을 손질해서 10분동안 삶은 후 으깨줍니다계란을 깨서 잘 풀어줍니다팬에 기름을 두르고 계란을 넣고 중간불에서 익혀줍니다감자랑 완두콩을 넣고 5분간 익혀줍니다속재료가 나오지 않게 계란을 잘 접어주시구열을 식힌 다음 한입크기로 잘라줍니다 (콩은 데코~~)
고양이,신장관련,조리시간 30분 이내,스테이크와 감자스튜 - 고양이의 성장을 도와주는,오늘 만든 음식은 3일 정도 냉장 보관이 가능해요:),소고기 100 g소고기 육수 1 cup껍질콩 30 g껍질벗긴 감자 1 number,"껍질콩을 잘게 썰어주세요. 꼬투리가 얇고 곧은 것과 구부렸을 때 쉽게 부러지는 것을 고르세요. 꼬투리가 볼록하거나 건조한 것은 피하세요.감자도 깍둑썰기해주세요. 감자는 표면이 단단하고 매끄러운 감자를 고르세요. 싹이 나거나 녹색 반점이나 멍든 부분이 있는 감자는 피하세요.소고기를 작은 조각으로 잘라주세요.냄비에 육수를 부어준 뒤, 소고기와 감자, 껍질콩을 넣어주세요.센 불에서 약 10분 정도 끓여주세요.약한 불로 줄이고 감자가 부드러워질 때까지 15분간 삶아주세요.불을 끄고 적당한 양을 믹서기에 담아 부드러워질 때까지 믹서기를 돌려주세요.그릇에 담은 뒤, 완전히 식혀주세요."
고양이,신장관련,조리시간 20분 이내,칠면조 해시 - 고양이 우울증 개선에 좋은,음식은 3일 정도 냉장 보관 가능합니다,파슬리 5 g다진 칠면조 100 g닭 육수 125 ml기름 2 tbsp껍질 벗긴 감자 1 number,"감자를 1cm 두께로 얇게 썰어주세요. 감자는 표면이 단단하고 매끄러운 감자를 고르세요. 싹이 나거나 녹색 반점이나 멍든 부분이 있는 감자는 피하세요.파슬리를 잘게 썰어 주세요.프라이팬에 기름을 두르고 센 불에서 가열하세요.프라이팬에 감자와 칠면조를 넣고 3~4분간 조리하세요. 칠면조 고기를 잘게 찢으면서 재료와 잘 섞어주세요중간 불로 줄이고 닭 육수를 부어준 뒤, 주걱이나 포크로 재료를 잘게 으깨주세요.파슬리를 뿌려준 다음 중간중간 저어주면서 5분간 조리하세요.불을 끄고 음식을 깨끗한 접시나 그릇에 옮겨 담아주세요.음식을 완전히 식힌 뒤 제공해주세요."
